timestamp,open,high,low,close,volume
2025-04-18 11:50:00,22476.08,22484.32,22470.13,22472.43,331444
2025-04-18 11:55:00,22484.02,22492.11,22476.71,22485.28,464575
2025-04-18 12:00:00,22490.8,22498.46,22484.48,22489.71,444875
2025-04-18 12:05:00,22490.58,22504.7,22478.06,22488.07,107265
2025-04-18 12:10:00,22472.24,22482.28,22459.32,22464.71,343375
2025-04-18 12:15:00,22477.59,22484.13,22470.38,22474.96,263068
2025-04-18 12:20:00,22500.41,22515.03,22490.5,22515.58,477423
2025-04-18 12:25:00,22504.16,22511.66,22491.96,22503.68,464190
2025-04-18 12:30:00,22503.5,22515.48,22493.78,22499.21,282300
2025-04-18 12:35:00,22502.22,22512.63,22493.96,22508.44,485101
2025-04-18 12:40:00,22488.29,22498.62,22482.44,22481.12,137276
2025-04-18 12:45:00,22494.88,22508.83,22486.57,22492.4,354254
2025-04-18 12:50:00,22536.99,22542.06,22525.92,22540.24,426850
2025-04-18 12:55:00,22509.33,22516.15,22495.03,22503.72,143189
2025-04-18 13:00:00,22523.4,22530.8,22512.89,22531.82,187599
2025-04-18 13:05:00,22531.08,22545.72,22522.43,22530.66,242488
2025-04-18 13:10:00,22528.01,22533.91,22517.92,22535.02,316439
2025-04-18 13:15:00,22523.7,22532.58,22511.53,22529.44,322930
2025-04-18 13:20:00,22516.24,22526.09,22502.48,22513.43,476480
2025-04-18 13:25:00,22503.6,22516.28,22497.45,22506.07,222027
2025-04-18 13:30:00,22518.08,22532.9,22508.19,22520.87,233705
2025-04-18 13:35:00,22540.5,22548.02,22525.75,22537.95,208824
2025-04-18 13:40:00,22548.77,22556.99,22536.93,22540.26,162250
2025-04-18 13:45:00,22533.74,22548.68,22528.55,22531.52,368976
2025-04-18 13:50:00,22535.82,22546.86,22522.74,22532.04,190354
2025-04-18 13:55:00,22550.64,22564.17,22535.86,22543.86,345493
2025-04-18 14:00:00,22541.0,22551.06,22526.35,22535.19,140951
2025-04-18 14:05:00,22565.66,22575.31,22551.79,22568.89,364747
2025-04-18 14:10:00,22574.99,22584.91,22562.74,22570.85,461806
2025-04-18 14:15:00,22564.78,22575.03,22557.41,22558.65,367235
2025-04-18 14:20:00,22548.59,22559.92,22537.03,22553.31,203855
2025-04-18 14:25:00,22563.84,22577.05,22553.9,22567.34,228337
2025-04-18 14:30:00,22565.06,22571.19,22558.09,22572.82,259394
2025-04-18 14:35:00,22555.63,22566.26,22549.49,22557.76,289056
2025-04-18 14:40:00,22562.18,22574.12,22551.15,22564.75,253342
2025-04-18 14:45:00,22560.37,22569.24,22552.77,22553.53,124658
2025-04-18 14:50:00,22569.66,22580.95,22564.28,22566.56,437800
2025-04-18 14:55:00,22587.06,22599.27,22581.06,22589.3,283770
2025-04-18 15:00:00,22578.9,22592.92,22567.99,22580.02,278133
2025-04-18 15:05:00,22586.0,22598.17,22574.5,22591.66,467680
2025-04-18 15:10:00,22587.58,22600.14,22579.43,22589.66,308194
2025-04-18 15:15:00,22596.81,22604.11,22590.69,22597.97,416645
2025-04-18 15:20:00,22605.11,22614.93,22590.96,22607.42,373688
2025-04-18 15:25:00,22578.79,22592.72,22565.25,22586.5,253290
2025-04-18 15:30:00,22594.66,22600.53,22585.42,22588.56,234832
2025-04-18 15:35:00,22592.36,22607.22,22586.04,22594.4,475866
2025-04-18 15:40:00,22592.55,22597.55,22580.31,22596.11,153357
